Frase,Sentimiento,Etiqueta
la experiencia fue muy recomendable,Positivo,0
la compra estuvo me dejó caliente,Negativo,1
en general la experiencia fue de lujo,Positivo,0
el proceso fue muy flojo,Negativo,1
en general el sistema fue muy mal hecho,Negativo,1
el servicio fue recomendable,Positivo,0
la aplicación estuvo muy recomendable,Positivo,0
la atención estuvo de diez,Positivo,0
el servicio estuvo excelente experiencia,Positivo,0
la verdad el sistema fue bárbaro,Positivo,0
en general la compra fue malísimo,Negativo,1
el proceso estuvo una porquería,Negativo,1
la plataforma estuvo todo de primera,Positivo,0
la verdad la compra fue muy buena onda,Positivo,0
mi experiencia con el proceso fue no recomendable,Negativo,1
lamentablemente la compra fue muy malo,Negativo,1
la plataforma fue re bien,Positivo,0
la experiencia estuvo recomendable,Positivo,0
mi opinión es que la experiencia fue vale totalmente la pena,Positivo,0
la atención estuvo un gol,Positivo,0
en general la compra fue espectacular,Positivo,0
mi opinión es que la aplicación fue recomendable,Positivo,0
la compra fue no cumple para nada,Negativo,1
la verdad la aplicación fue me encantó,Positivo,0
la experiencia fue una decepción,Negativo,1
la atención fue genial,Positivo,0
lamentablemente el proceso fue no cumple,Negativo,1
mi experiencia con el trámite fue decepcionante,Negativo,1
el servicio estuvo re lento,Negativo,1
el trámite fue funciona perfecto,Positivo,0
en general la atención fue funciona mal,Negativo,1
el trámite estuvo re bueno,Positivo,0
mi experiencia con el proceso fue re malo,Negativo,1
en general la experiencia fue no sirve,Negativo,1
mi experiencia con la atención fue me hizo perder tiempo,Negativo,1
mi opinión es que el servicio fue todo de primera,Positivo,0
mi opinión es que el sistema fue vale la pena,Positivo,0
la verdad el proceso fue me sorprendió para bien,Positivo,0
la experiencia estuvo no recomendable,Negativo,1
el proceso fue anda mal,Negativo,1
lamentablemente la atención fue pésimo,Negativo,1
la plataforma estuvo genial,Positivo,0
lamentablemente la plataforma fue decepcionante,Negativo,1
el producto fue cumple de sobra,Positivo,0
mi experiencia con la plataforma fue una decepción,Negativo,1
la compra estuvo experiencia horrible,Negativo,1
en general el proceso fue re bien,Positivo,0
mi opinión es que el servicio fue me sorprendió para bien,Positivo,0
mi opinión es que el servicio fue cumple de sobra,Positivo,0
mi experiencia con la plataforma fue una pérdida de tiempo,Negativo,1
la plataforma fue funciona perfecto,Positivo,0
lamentablemente el proceso fue mal organizado,Negativo,1
mi opinión es que la atención fue anda bárbaro,Positivo,0
en general el proceso fue joya,Positivo,0
en general la experiencia fue cumple al 100,Positivo,0
mi opinión es que el sistema fue de primera,Positivo,0
la atención fue ineficiente,Negativo,1
la compra estuvo de diez,Positivo,0
en general el trámite fue flojo,Negativo,1
el proceso estuvo funciona pésimo,Negativo,1
en general el trámite fue decepcionante,Negativo,1
mi opinión es que el sistema fue de lujo,Positivo,0
mi experiencia con la experiencia fue una pérdida total,Negativo,1
en general el trámite fue una pérdida total,Negativo,1
lamentablemente la atención fue me dejó caliente,Negativo,1
en general la compra fue me encantó,Positivo,0
lamentablemente la aplicación fue me hizo perder tiempo,Negativo,1
el producto fue genial,Positivo,0
la verdad el proceso fue re bien,Positivo,0
mi opinión es que el servicio fue de diez,Positivo,0
el trámite estuvo muy conforme,Positivo,0
mi experiencia con el trámite fue una porquería,Negativo,1
mi experiencia con el trámite fue re malo,Negativo,1
la verdad el servicio fue genial,Positivo,0
mi opinión es que el sistema fue sin drama,Positivo,0
mi experiencia con la plataforma fue me dejó recaliente,Negativo,1
la compra estuvo mal organizado,Negativo,1
mi opinión es que la compra fue impecable,Positivo,0
la verdad la atención fue vale totalmente la pena,Positivo,0
en general la compra fue mucho mejor de lo esperado,Positivo,0
mi experiencia con el sistema fue no recomendable,Negativo,1
la verdad la experiencia fue funciona de diez,Positivo,0
en general la compra fue sin drama,Positivo,0
en general el sistema fue genial,Positivo,0
en general la compra fue pésimo,Negativo,1
la verdad el producto fue excelente experiencia,Positivo,0
en general la compra fue funciona pésimo,Negativo,1
el proceso fue espectacular,Positivo,0
en general la atención fue muy flojo,Negativo,1
lamentablemente el producto fue decepcionante,Negativo,1
mi opinión es que la compra fue joya,Positivo,0
en general la atención fue poco serio,Negativo,1
el trámite estuvo una vergüenza,Negativo,1
en general el producto fue re bien,Positivo,0
en general el proceso fue vale totalmente la pena,Positivo,0
la plataforma estuvo re piola,Positivo,0
el trámite fue un gol,Positivo,0
la aplicación estuvo no recomendable,Negativo,1
en general la compra fue anda perfecto,Positivo,0
en general el servicio fue buenísimo,Positivo,0
la verdad la experiencia fue muy conforme,Positivo,0
la experiencia fue re malo,Negativo,1
la atención fue funciona mal,Negativo,1
el servicio estuvo cumple al 100,Positivo,0
lamentablemente el sistema fue no sirve,Negativo,1
mi opinión es que la experiencia fue de diez,Positivo,0
la verdad el servicio fue buenísimo,Positivo,0
mi opinión es que el servicio fue mucho mejor de lo esperado,Positivo,0
lamentablemente la plataforma fue flojo,Negativo,1
el trámite fue horrible,Negativo,1
el trámite estuvo mal atendido,Negativo,1
en general el proceso fue anda perfecto,Positivo,0
en general la aplicación fue me dejó recaliente,Negativo,1
la aplicación estuvo joya,Positivo,0
en general el trámite fue impecable,Positivo,0
en general la compra fue me dejó recaliente,Negativo,1
el producto estuvo un gol,Positivo,0
mi opinión es que la plataforma fue me dejó re conforme,Positivo,0
el producto fue recomendable,Positivo,0
el trámite estuvo re lento,Negativo,1
la aplicación estuvo todo de primera,Positivo,0
en general la experiencia fue flojo,Negativo,1
la compra estuvo muy recomendable,Positivo,0
el sistema estuvo anda mal,Negativo,1
la compra estuvo funciona pésimo,Negativo,1
en general la experiencia fue me hizo perder tiempo,Negativo,1
