Frase,Sentimiento,Etiqueta
lamentablemente la atención fue frustrante,Negativo,1
mi opinión es que la aplicación fue funcionó perfecto,Positivo,0
mi opinión es que la aplicación fue muy bueno,Positivo,0
lamentablemente la aplicación fue deficiente,Negativo,1
lamentablemente la experiencia fue deficiente,Negativo,1
la verdad la plataforma fue genial,Positivo,0
mi experiencia con la experiencia fue impresentable,Negativo,1
en general el proceso fue pésimo,Negativo,1
en general el producto fue vale la pena,Positivo,0
el proceso fue me dejó molesto,Negativo,1
el producto estuvo bien logrado,Positivo,0
la atención estuvo vale la pena,Positivo,0
la verdad la compra fue excelente,Positivo,0
el proceso estuvo bkn,Positivo,0
la plataforma fue excelente,Positivo,0
la compra estuvo genial,Positivo,0
en general la atención fue deficiente,Negativo,1
la experiencia estuvo me dejó molesto,Negativo,1
en general el producto fue joya,Positivo,0
la verdad la aplicación fue todo bien,Positivo,0
lamentablemente el trámite fue frustrante,Negativo,1
mi opinión es que la plataforma fue super bueno,Positivo,0
el trámite estuvo charcha,Negativo,1
el proceso estuvo ineficiente,Negativo,1
la atención estuvo perfecto,Positivo,0
la compra estuvo filete,Positivo,0
en general el servicio fue charcha,Negativo,1
mi opinión es que la aplicación fue de pana,Positivo,0
el servicio fue decepcionante,Negativo,1
mi opinión es que el sistema fue bkn,Positivo,0
lamentablemente la atención fue muy malo,Negativo,1
mi opinión es que la atención fue recomendable,Positivo,0
mi opinión es que el proceso fue impecable,Positivo,0
lamentablemente el trámite fue una lata,Negativo,1
en general la compra fue notable,Positivo,0
mi opinión es que la aplicación fue vale la pena,Positivo,0
lamentablemente el sistema fue frustrante,Negativo,1
el servicio estuvo pura pérdida de tiempo,Negativo,1
lamentablemente la plataforma fue pura pérdida de tiempo,Negativo,1
mi experiencia con el servicio fue penca,Negativo,1
en general la aplicación fue malísimo,Negativo,1
mi experiencia con el servicio fue malísimo,Negativo,1
la plataforma estuvo ineficiente,Negativo,1
el servicio estuvo callampa,Negativo,1
en general el trámite fue pulento,Positivo,0
mi experiencia con la experiencia fue me dejó molesto,Negativo,1
el servicio estuvo ineficiente,Negativo,1
mi opinión es que la atención fue bkn,Positivo,0
el sistema fue me dejó molesto,Negativo,1
en general el proceso fue malísimo,Negativo,1
el producto fue excelente,Positivo,0
el sistema fue penca,Negativo,1
en general la plataforma fue muy conforme,Positivo,0
la verdad el servicio fue super bueno,Positivo,0
el servicio estuvo notable,Positivo,0
la verdad la atención fue super bueno,Positivo,0
la aplicación estuvo seco,Positivo,0
mi experiencia con el servicio fue horrible,Negativo,1
lamentablemente la plataforma fue decepcionante,Negativo,1
en general la atención fue frustrante,Negativo,1
en general la aplicación fue me dejó molesto,Negativo,1
la atención fue mal ejecutado,Negativo,1
la verdad la experiencia fue excelente,Positivo,0
lamentablemente la compra fue muy malo,Negativo,1
la verdad la atención fue impecable,Positivo,0
en general el proceso fue muy bueno,Positivo,0
lamentablemente la atención fue mal atendido,Negativo,1
la verdad la atención fue muy bueno,Positivo,0
en general el sistema fue perfecto,Positivo,0
la verdad el producto fue notable,Positivo,0
la verdad el sistema fue filete,Positivo,0
la aplicación estuvo mal atendido,Negativo,1
la aplicación estuvo malísimo,Negativo,1
mi opinión es que la aplicación fue muy conforme,Positivo,0
mi experiencia con el servicio fue deficiente,Negativo,1
la verdad la aplicación fue vale la pena,Positivo,0
el servicio estuvo mal ejecutado,Negativo,1
la aplicación estuvo penca,Negativo,1
la atención fue pura pérdida de tiempo,Negativo,1
la verdad el servicio fue genial,Positivo,0
mi experiencia con la plataforma fue fome,Negativo,1
el producto fue rápido y eficiente,Positivo,0
el trámite fue desastroso,Negativo,1
mi opinión es que el servicio fue genial,Positivo,0
mi experiencia con el servicio fue una lata,Negativo,1
lamentablemente la plataforma fue mal ejecutado,Negativo,1
el trámite fue mal ejecutado,Negativo,1
mi opinión es que la experiencia fue bacán,Positivo,0
la plataforma fue frustrante,Negativo,1
en general el sistema fue muy mala experiencia,Negativo,1
lamentablemente el sistema fue funciona mal,Negativo,1
mi opinión es que el sistema fue muy bueno,Positivo,0
en general la atención fue sin problemas,Positivo,0
el trámite estuvo cumple totalmente,Positivo,0
en general la plataforma fue cumple totalmente,Positivo,0
el servicio estuvo fome,Negativo,1
en general la aplicación fue excelente,Positivo,0
el producto estuvo funciona mal,Negativo,1
en general la aplicación fue filete,Positivo,0
la atención fue excelente,Positivo,0
el trámite estuvo mal atendido,Negativo,1
lamentablemente el proceso fue funciona mal,Negativo,1
lamentablemente la compra fue mal ejecutado,Negativo,1
lamentablemente el sistema fue desastroso,Negativo,1
mi opinión es que el sistema fue genial,Positivo,0
el proceso estuvo bien logrado,Positivo,0
la verdad el producto fue sin problemas,Positivo,0
la verdad la compra fue funcionó perfecto,Positivo,0
el servicio estuvo frustrante,Negativo,1
en general el sistema fue todo bien,Positivo,0
el servicio estuvo nefasto,Negativo,1
en general la aplicación fue nefasto,Negativo,1
el servicio fue charcha,Negativo,1
en general el trámite fue funciona mal,Negativo,1
en general el trámite fue notable,Positivo,0
la compra estuvo la raja,Positivo,0
lamentablemente la experiencia fue impresentable,Negativo,1
en general la experiencia fue funciona mal,Negativo,1
lamentablemente el sistema fue nefasto,Negativo,1
mi experiencia con el sistema fue muy mala experiencia,Negativo,1
en general la experiencia fue de pana,Positivo,0
la atención fue sin problemas,Positivo,0
el servicio estuvo funcionó perfecto,Positivo,0
la plataforma fue desastroso,Negativo,1
la compra fue horrible,Negativo,1
en general el producto fue muy conforme,Positivo,0
mi opinión es que el trámite fue recomendable,Positivo,0
en general la compra fue lento,Negativo,1
el producto fue una lata,Negativo,1
en general la experiencia fue bacán,Positivo,0
la experiencia estuvo bacán,Positivo,0
en general la experiencia fue deficiente,Negativo,1
en general la compra fue fome,Negativo,1
la plataforma estuvo muy malo,Negativo,1
la verdad la aplicación fue filete,Positivo,0
en general el producto fue excelente,Positivo,0
el proceso fue impecable,Positivo,0
el sistema fue vale la pena,Positivo,0
la verdad la atención fue excelente,Positivo,0
el producto estuvo funcionó perfecto,Positivo,0
la plataforma fue funciona mal,Negativo,1
la aplicación fue muy conforme,Positivo,0
en general la aplicación fue cumple totalmente,Positivo,0
lamentablemente el servicio fue me dejó molesto,Negativo,1
la aplicación estuvo genial,Positivo,0
la aplicación fue super bueno,Positivo,0
el servicio fue me dejó molesto,Negativo,1
la atención estuvo sin problemas,Positivo,0
la verdad el sistema fue funcionó perfecto,Positivo,0
en general la compra fue malísimo,Negativo,1
mi opinión es que el producto fue sin problemas,Positivo,0
lamentablemente la atención fue mal ejecutado,Negativo,1
mi opinión es que el sistema fue impecable,Positivo,0
en general la compra fue de pana,Positivo,0
la verdad la compra fue cumple totalmente,Positivo,0
mi experiencia con la plataforma fue mal ejecutado,Negativo,1
mi experiencia con el sistema fue deficiente,Negativo,1
mi experiencia con la experiencia fue mal atendido,Negativo,1
el servicio estuvo bien logrado,Positivo,0
en general la plataforma fue nefasto,Negativo,1
en general el servicio fue funciona mal,Negativo,1
en general la plataforma fue desastroso,Negativo,1
el sistema estuvo funcionó perfecto,Positivo,0
el producto fue perfecto,Positivo,0
en general la atención fue funcionó perfecto,Positivo,0
la aplicación fue ineficiente,Negativo,1
la verdad el trámite fue vale la pena,Positivo,0
lamentablemente el proceso fue muy mala experiencia,Negativo,1
en general el trámite fue muy malo,Negativo,1
mi experiencia con el producto fue desastroso,Negativo,1
lamentablemente el trámite fue muy mala experiencia,Negativo,1
mi opinión es que el trámite fue sin problemas,Positivo,0
el sistema estuvo muy conforme,Positivo,0
el servicio estuvo una lata,Negativo,1
mi opinión es que la compra fue todo bien,Positivo,0
el trámite fue genial,Positivo,0
el trámite estuvo super bueno,Positivo,0
en general el producto fue me dejó contento,Positivo,0
la plataforma fue deficiente,Negativo,1
el sistema estuvo vale la pena,Positivo,0
lamentablemente la experiencia fue fome,Negativo,1
en general la experiencia fue muy conforme,Positivo,0
la verdad el producto fue todo bien,Positivo,0
en general la atención fue pura pérdida de tiempo,Negativo,1
en general el sistema fue bkn,Positivo,0
la atención fue decepcionante,Negativo,1
mi experiencia con el proceso fue desastroso,Negativo,1
la verdad la plataforma fue filete,Positivo,0
el producto fue me dejó contento,Positivo,0
la atención fue impresentable,Negativo,1
en general el proceso fue callampa,Negativo,1
la aplicación estuvo la raja,Positivo,0
mi opinión es que el trámite fue la raja,Positivo,0
en general el servicio fue deficiente,Negativo,1
la verdad el proceso fue bien logrado,Positivo,0
mi experiencia con el servicio fue impresentable,Negativo,1
en general el sistema fue cumple totalmente,Positivo,0
el sistema estuvo pulento,Positivo,0
en general el sistema fue muy conforme,Positivo,0
