Frase,Sentimiento,Etiqueta
el proceso fue me sorprendió,Positivo,0
lamentablemente el sistema fue pésimo,Negativo,1
mi experiencia con la experiencia fue nada recomendable,Negativo,1
la atención fue una pérdida de tiempo,Negativo,1
mi experiencia con la atención fue todo salió excelente,Positivo,0
lamentablemente el producto fue muy deficiente,Negativo,1
el proceso estuvo muy buena experiencia,Positivo,0
el proceso estuvo bien padre,Positivo,0
en general el trámite fue funciona al cien,Positivo,0
la atención fue recomendadísimo,Positivo,0
en general el proceso fue muy bien hecho,Positivo,0
el trámite fue una pérdida de tiempo,Negativo,1
la aplicación fue no sirve,Negativo,1
en general el sistema fue una maravilla,Positivo,0
en general el producto fue vale la pena,Positivo,0
el sistema fue muy satisfecho,Positivo,0
en general la plataforma fue todo perfecto,Positivo,0
mi experiencia con la aplicación fue muy satisfecho,Positivo,0
el proceso estuvo pésimo,Negativo,1
el sistema fue me fue mal,Negativo,1
mi experiencia con la atención fue excelente,Positivo,0
lamentablemente la atención fue decepcionante,Negativo,1
mi experiencia con la atención fue funciona al cien,Positivo,0
la aplicación estuvo está chido,Positivo,0
mi experiencia con el trámite fue me encantó,Positivo,0
la compra estuvo jala bien,Positivo,0
la verdad el producto fue me fue excelente,Positivo,0
la atención estuvo me dejó satisfecho,Positivo,0
mi experiencia con el proceso fue muy recomendable,Positivo,0
el proceso estuvo me hizo perder tiempo,Negativo,1
mi experiencia con la aplicación fue muy lento,Negativo,1
lamentablemente el servicio fue me sacó de quicio,Negativo,1
el producto fue no cumplió,Negativo,1
mi experiencia con la plataforma fue padrísimo,Positivo,0
mi experiencia con la aplicación fue me dejó molesto,Negativo,1
mi experiencia con la compra fue está horrible,Negativo,1
el servicio fue me dejó satisfecho,Positivo,0
mi experiencia con la atención fue muy bueno,Positivo,0
en general el producto fue una maravilla,Positivo,0
la experiencia fue experiencia horrible,Negativo,1
la aplicación estuvo recomendadísimo,Positivo,0
en general la compra fue muy flojo,Negativo,1
mi experiencia con el sistema fue funciona al cien,Positivo,0
la atención fue muy chafa,Negativo,1
lamentablemente la atención fue me dejó molesto,Negativo,1
el servicio estuvo funciona perfecto,Positivo,0
mi experiencia con el servicio fue me sacó de quicio,Negativo,1
el servicio estuvo no vale la pena,Negativo,1
el producto fue todo de lujo,Positivo,0
en general el servicio fue vale la pena,Positivo,0
el servicio fue muy bien hecho,Positivo,0
en general la atención fue muy buen servicio,Positivo,0
mi experiencia con la plataforma fue me hizo perder tiempo,Negativo,1
mi experiencia con la aplicación fue no vale la pena,Negativo,1
