Frase,Sentimiento,Etiqueta
el proceso fue muy bien hecho,Positivo,0
lamentablemente el sistema fue pésimo,Negativo,1
mi experiencia con la experiencia fue me decepcionó,Negativo,1
la atención fue una pérdida de tiempo,Negativo,1
mi experiencia con la atención fue todo salió excelente,Positivo,0
lamentablemente el producto fue muy deficiente,Negativo,1
el proceso estuvo una maravilla,Positivo,0
el proceso estuvo quedé feliz,Positivo,0
en general el trámite fue muy cumplido,Positivo,0
la atención fue me pareció genial,Positivo,0
en general el proceso fue todo perfecto,Positivo,0
el trámite fue una pérdida de tiempo,Negativo,1
la aplicación fue no sirve,Negativo,1
en general el sistema fue cumple totalmente,Positivo,0
en general el producto fue de lo mejor,Positivo,0
el sistema fue rápido y eficiente,Positivo,0
en general la plataforma fue de primera,Positivo,0
mi experiencia con la aplicación fue rápido y eficiente,Positivo,0
el proceso estuvo pésimo,Negativo,1
el sistema fue me fue mal,Negativo,1
mi experiencia con la atención fue muy bueno,Positivo,0
lamentablemente la atención fue decepcionante,Negativo,1
mi experiencia con la atención fue muy cumplido,Positivo,0
la aplicación estuvo una chimba,Positivo,0
mi experiencia con el trámite fue vale la pena,Positivo,0
la compra estuvo super bacano,Positivo,0
la verdad el producto fue muy buena atención,Positivo,0
la atención estuvo todo salió perfecto,Positivo,0
mi experiencia con el proceso fue muy recomendado,Positivo,0
el proceso estuvo me dejó inconforme,Negativo,1
mi experiencia con la aplicación fue muy lento,Negativo,1
lamentablemente el servicio fue fue un caos,Negativo,1
el producto fue no cumplió,Negativo,1
mi experiencia con la plataforma fue excelente,Positivo,0
mi experiencia con la aplicación fue nada recomendable,Negativo,1
mi experiencia con la compra fue una porquería,Negativo,1
el servicio fue todo salió perfecto,Positivo,0
mi experiencia con la atención fue bacano,Positivo,0
en general el producto fue cumple totalmente,Positivo,0
la experiencia fue muy incumplido,Negativo,1
la aplicación estuvo me pareció genial,Positivo,0
en general la compra fue muy regular,Negativo,1
mi experiencia con el sistema fue muy cumplido,Positivo,0
la atención fue me sacó la piedra,Negativo,1
lamentablemente la atención fue nada recomendable,Negativo,1
el servicio estuvo funciona perfecto,Positivo,0
mi experiencia con el servicio fue fue un caos,Negativo,1
el servicio estuvo muy desordenado,Negativo,1
el producto fue recomendadísimo,Positivo,0
en general el servicio fue de lo mejor,Positivo,0
el servicio fue todo perfecto,Positivo,0
en general la atención fue me fue muy bien,Positivo,0
mi experiencia con la plataforma fue me dejó inconforme,Negativo,1
mi experiencia con la aplicación fue muy desordenado,Negativo,1
el trámite estuvo una nota,Positivo,0
el servicio estuvo todo salió bien,Positivo,0
la aplicación fue una nota,Positivo,0
la experiencia fue me sorprendió,Positivo,0
el sistema estuvo funciona mal,Negativo,1
en general el proceso fue me dejó satisfecho,Positivo,0
la compra estuvo me decepcionó,Negativo,1
el trámite fue de lo mejor,Positivo,0
mi experiencia con el producto fue funciona perfecto,Positivo,0
mi experiencia con el servicio fue me dejó satisfecho,Positivo,0
mi experiencia con el servicio fue horrible,Negativo,1
en general la compra fue nada recomendable,Negativo,1
la atención estuvo una nota,Positivo,0
en general el proceso fue una chimba,Positivo,0
el sistema fue una maravilla,Positivo,0
la plataforma fue muy mal hecho,Negativo,1
en general la plataforma fue me dejó inconforme,Negativo,1
el sistema estuvo me encantó,Positivo,0
mi experiencia con la experiencia fue muy satisfecho,Positivo,0
en general la aplicación fue de lo mejor,Positivo,0
la plataforma fue de lo mejor,Positivo,0
mi experiencia con la experiencia fue una porquería,Negativo,1
lamentablemente la aplicación fue malísimo,Negativo,1
lamentablemente el sistema fue no cumplió,Negativo,1
en general el proceso fue fue un caos,Negativo,1
en general el servicio fue no lo recomiendo,Negativo,1
la compra fue una porquería,Negativo,1
la compra estuvo no lo recomiendo,Negativo,1
mi experiencia con la aplicación fue muy mala atención,Negativo,1
el proceso fue muy malo,Negativo,1
la compra fue una pérdida de tiempo,Negativo,1
la plataforma fue malísimo,Negativo,1
en general el trámite fue bacano,Positivo,0
el trámite estuvo terrible,Negativo,1
la atención fue muy buena experiencia,Positivo,0
mi experiencia con el servicio fue muy cumplido,Positivo,0
en general la atención fue mala experiencia,Negativo,1
en general el proceso fue muy mal hecho,Negativo,1
el producto estuvo me pareció genial,Positivo,0
en general la plataforma fue muy mala atención,Negativo,1
en general la aplicación fue me dejó inconforme,Negativo,1
mi experiencia con el sistema fue fue un caos,Negativo,1
la atención estuvo muy bien logrado,Positivo,0
en general la compra fue genial,Positivo,0
el servicio estuvo muy malo,Negativo,1
mi experiencia con el producto fue todo perfecto,Positivo,0
mi experiencia con la atención fue todo salió bien,Positivo,0
el producto estuvo me dejó inconforme,Negativo,1
en general la aplicación fue muy bueno,Positivo,0
el trámite estuvo una chimba,Positivo,0
la experiencia fue muy satisfecho,Positivo,0
la verdad la atención fue funciona perfecto,Positivo,0
mi experiencia con la aplicación fue fatal,Negativo,1
la compra estuvo flojo,Negativo,1
en general el producto fue muy bien hecho,Positivo,0
mi experiencia con el servicio fue todo salió excelente,Positivo,0
en general el servicio fue todo salió bien,Positivo,0
la experiencia estuvo recomendadísimo,Positivo,0
el trámite fue funciona de maravilla,Positivo,0
la plataforma fue todo salió bien,Positivo,0
lamentablemente la atención fue me sacó la piedra,Negativo,1
mi experiencia con el producto fue genial,Positivo,0
en general la aplicación fue muy malo,Negativo,1
la verdad el producto fue todo salió bien,Positivo,0
la plataforma estuvo terrible,Negativo,1
en general el proceso fue rápido y eficiente,Positivo,0
la verdad el sistema fue muy cumplido,Positivo,0
lamentablemente la plataforma fue me dejó aburrido,Negativo,1
el proceso estuvo muy malo,Negativo,1
la verdad el trámite fue muy cumplido,Positivo,0
el producto fue me sorprendió,Positivo,0
mi experiencia con el sistema fue muy buena atención,Positivo,0
en general la atención fue malísimo,Negativo,1
el proceso estuvo todo salió excelente,Positivo,0
el producto estuvo muy buena atención,Positivo,0
el servicio estuvo muy bien hecho,Positivo,0
lamentablemente la atención fue no sirve,Negativo,1
la atención estuvo muy recomendado,Positivo,0
en general el servicio fue genial,Positivo,0
la compra fue muy lento,Negativo,1
en general la atención fue me sacó la piedra,Negativo,1
el producto estuvo me decepcionó,Negativo,1
la aplicación fue me sacó la piedra,Negativo,1
en general la aplicación fue fatal,Negativo,1
mi experiencia con el producto fue de primera,Positivo,0
en general la experiencia fue todo salió bien,Positivo,0
mi experiencia con la compra fue muy bueno,Positivo,0
la compra fue no cumplió,Negativo,1
la atención estuvo fue un caos,Negativo,1
la verdad el proceso fue muy bueno,Positivo,0
el sistema estuvo mala experiencia,Negativo,1
mi experiencia con la plataforma fue malísimo,Negativo,1
lamentablemente el producto fue mala experiencia,Negativo,1
mi experiencia con la plataforma fue una maravilla,Positivo,0
mi experiencia con la aplicación fue muy buena experiencia,Positivo,0
la verdad la experiencia fue muy bueno,Positivo,0
en general la atención fue genial,Positivo,0
mi experiencia con el producto fue me dejó aburrido,Negativo,1
lamentablemente la experiencia fue un desastre,Negativo,1
la plataforma estuvo todo salió bien,Positivo,0
en general el trámite fue una pérdida de tiempo,Negativo,1
la verdad el trámite fue super bacano,Positivo,0
la verdad la atención fue muy bueno,Positivo,0
lamentablemente el servicio fue me fue mal,Negativo,1
el servicio fue de lo mejor,Positivo,0
lamentablemente el servicio fue no valió la pena,Negativo,1
mi experiencia con la plataforma fue muy lento,Negativo,1
